epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11319,1.35118,9.44253,1.27881,0.58979,0.16667,0.22656,0.18682,1.04513,5.00408,1.08208,4.165e-05,4.165e-05,4.165e-05
2,10.156,1.64639,5.26158,1.45129,0.79789,0.29167,0.34295,0.29429,1.03061,7.19578,1.06447,9.07229e-05,9.07229e-05,9.07229e-05
3,15.055,1.4419,3.53276,1.5192,0.50767,0.42422,0.45098,0.38675,1.01456,19.1539,1.05733,0.000138806,0.000138806,0.000138806
4,19.8934,1.23437,3.42985,1.36391,0.50767,0.42422,0.45098,0.38675,1.01456,19.1539,1.05733,0.0001859,0.0001859,0.0001859
5,24.6772,1.48963,3.08612,1.4023,0.70188,0.46365,0.6183,0.52745,1.02225,39.9221,1.07865,0.000232004,0.000232004,0.000232004
6,29.5321,1.19839,3.51368,1.31591,0.70188,0.46365,0.6183,0.52745,1.02225,39.9221,1.07865,0.000277118,0.000277118,0.000277118
7,34.323,1.16476,2.77376,1.22747,0.59862,0.61458,0.68514,0.58754,1.05728,26.3584,1.0851,0.000321243,0.000321243,0.000321243
8,39.1414,1.38158,2.51123,1.28059,0.59862,0.61458,0.68514,0.58754,1.05728,26.3584,1.0851,0.000364378,0.000364378,0.000364378
9,44.1876,1.34627,2.52455,1.27251,0.64488,0.68542,0.716,0.53593,1.13417,5.43201,1.14433,0.000406524,0.000406524,0.000406524
10,48.9928,1.16397,2.6906,1.26959,0.64488,0.68542,0.716,0.53593,1.13417,5.43201,1.14433,0.00044768,0.00044768,0.00044768
11,53.7852,1.2947,2.25439,1.17624,0.64488,0.68542,0.716,0.53593,1.13417,5.43201,1.14433,0.000487846,0.000487846,0.000487846
12,58.6682,1.20234,3.78746,1.27919,0.64488,0.68542,0.716,0.53593,1.13417,5.43201,1.14433,0.000527023,0.000527023,0.000527023
13,63.4953,1.3754,2.52969,1.15997,0.64488,0.68542,0.716,0.53593,1.13417,5.43201,1.14433,0.00056521,0.00056521,0.00056521
14,68.3712,1.21086,2.09538,1.14589,0.77267,0.69167,0.78166,0.5265,1.1188,3.41721,1.11517,0.000602408,0.000602408,0.000602408
15,73.0943,1.0186,7.2583,0.99279,0.77267,0.69167,0.78166,0.5265,1.1188,3.41721,1.11517,0.000638616,0.000638616,0.000638616
16,77.7859,1.07674,2.29011,1.29642,0.77267,0.69167,0.78166,0.5265,1.1188,3.41721,1.11517,0.000673835,0.000673835,0.000673835
17,82.4949,1.21849,1.80411,1.10811,0.77267,0.69167,0.78166,0.5265,1.1188,3.41721,1.11517,0.000701053,0.000701053,0.000701053
18,87.2719,0.97796,1.74615,1.09995,0.77267,0.69167,0.78166,0.5265,1.1188,3.41721,1.11517,0.000692806,0.000692806,0.000692806
19,92.2188,1.28349,2.20733,1.2213,0.71512,0.75998,0.78733,0.62156,1.00921,3.11819,1.08012,0.000684559,0.000684559,0.000684559
20,97.1542,0.94723,5.96767,0.9682,0.71512,0.75998,0.78733,0.62156,1.00921,3.11819,1.08012,0.000676313,0.000676313,0.000676313
21,102.125,1.11524,2.35767,1.12069,0.71512,0.75998,0.78733,0.62156,1.00921,3.11819,1.08012,0.000668066,0.000668066,0.000668066
22,107.04,1.13298,2.0639,1.19079,0.71512,0.75998,0.78733,0.62156,1.00921,3.11819,1.08012,0.000659819,0.000659819,0.000659819
23,111.984,1.12039,2.17796,1.18905,0.71512,0.75998,0.78733,0.62156,1.00921,3.11819,1.08012,0.000651573,0.000651573,0.000651573
24,117.019,1.32283,1.96344,1.16084,0.87267,0.66178,0.80903,0.64489,0.99719,2.7234,1.07989,0.000643326,0.000643326,0.000643326
25,122,1.24697,1.69338,1.09739,0.87267,0.66178,0.80903,0.64489,0.99719,2.7234,1.07989,0.000635079,0.000635079,0.000635079
26,126.912,1.04756,1.64502,1.11071,0.87267,0.66178,0.80903,0.64489,0.99719,2.7234,1.07989,0.000626832,0.000626832,0.000626832
27,131.828,1.06088,1.76216,1.13743,0.87267,0.66178,0.80903,0.64489,0.99719,2.7234,1.07989,0.000618586,0.000618586,0.000618586
28,136.704,1.42823,2.07518,1.24498,0.87267,0.66178,0.80903,0.64489,0.99719,2.7234,1.07989,0.000610339,0.000610339,0.000610339
29,141.734,1.13257,2.2107,1.15355,0.87267,0.66178,0.80903,0.64489,0.99719,2.7234,1.07989,0.000602092,0.000602092,0.000602092
30,146.73,1.0081,1.47364,1.07053,0.90129,0.77507,0.87902,0.65973,0.92832,3.11947,1.04449,0.000593846,0.000593846,0.000593846
31,151.664,1.16733,1.60168,1.177,0.90129,0.77507,0.87902,0.65973,0.92832,3.11947,1.04449,0.000585599,0.000585599,0.000585599
32,156.581,1.02158,2.01859,1.1855,0.90129,0.77507,0.87902,0.65973,0.92832,3.11947,1.04449,0.000577352,0.000577352,0.000577352
33,161.562,1.00662,1.74109,1.21073,0.90129,0.77507,0.87902,0.65973,0.92832,3.11947,1.04449,0.000569106,0.000569106,0.000569106
34,166.458,1.12021,1.55049,1.21534,0.90129,0.77507,0.87902,0.65973,0.92832,3.11947,1.04449,0.000560859,0.000560859,0.000560859
35,171.464,1.08893,1.52225,1.07752,0.7906,0.84925,0.86591,0.66989,0.88821,2.31738,1.06753,0.000552612,0.000552612,0.000552612
36,176.38,0.95986,1.60061,1.09644,0.7906,0.84925,0.86591,0.66989,0.88821,2.31738,1.06753,0.000544365,0.000544365,0.000544365
37,181.29,0.90543,1.38439,1.03511,0.7906,0.84925,0.86591,0.66989,0.88821,2.31738,1.06753,0.000536119,0.000536119,0.000536119
38,186.249,1.06365,1.51389,1.06552,0.7906,0.84925,0.86591,0.66989,0.88821,2.31738,1.06753,0.000527872,0.000527872,0.000527872
39,191.096,1.15657,1.71582,1.20991,0.7906,0.84925,0.86591,0.66989,0.88821,2.31738,1.06753,0.000519625,0.000519625,0.000519625
40,196.071,1.09831,1.8521,1.15707,0.81033,0.85293,0.90734,0.71375,0.86106,1.89384,1.04586,0.000511379,0.000511379,0.000511379
41,201.032,0.83091,1.57587,1.0901,0.81033,0.85293,0.90734,0.71375,0.86106,1.89384,1.04586,0.000503132,0.000503132,0.000503132
42,205.969,1.05335,1.65345,1.20759,0.81033,0.85293,0.90734,0.71375,0.86106,1.89384,1.04586,0.000494885,0.000494885,0.000494885
43,210.913,1.0239,1.67691,1.06419,0.81033,0.85293,0.90734,0.71375,0.86106,1.89384,1.04586,0.000486639,0.000486639,0.000486639
44,215.845,1.01514,1.50126,1.14459,0.81033,0.85293,0.90734,0.71375,0.86106,1.89384,1.04586,0.000478392,0.000478392,0.000478392
45,220.767,0.9836,1.55129,1.17045,0.81033,0.85293,0.90734,0.71375,0.86106,1.89384,1.04586,0.000470145,0.000470145,0.000470145
46,225.776,1.06236,1.41132,1.16654,0.84187,0.86928,0.91363,0.74399,0.82877,1.81656,0.9917,0.000461898,0.000461898,0.000461898
47,230.742,1.24144,1.77658,1.46855,0.84187,0.86928,0.91363,0.74399,0.82877,1.81656,0.9917,0.000453652,0.000453652,0.000453652
48,235.632,1.02026,1.3553,1.07647,0.84187,0.86928,0.91363,0.74399,0.82877,1.81656,0.9917,0.000445405,0.000445405,0.000445405
49,240.655,0.776,1.34219,0.97999,0.84187,0.86928,0.91363,0.74399,0.82877,1.81656,0.9917,0.000437158,0.000437158,0.000437158
50,245.581,1.02431,1.36042,1.05437,0.84187,0.86928,0.91363,0.74399,0.82877,1.81656,0.9917,0.000428912,0.000428912,0.000428912
51,250.558,1.17344,1.37624,1.06801,0.84788,0.8539,0.9073,0.72392,0.79518,1.62929,0.99628,0.000420665,0.000420665,0.000420665
52,255.448,1.04308,1.1828,1.0938,0.84788,0.8539,0.9073,0.72392,0.79518,1.62929,0.99628,0.000412418,0.000412418,0.000412418
53,260.435,1.0068,1.17154,1.08454,0.84788,0.8539,0.9073,0.72392,0.79518,1.62929,0.99628,0.000404172,0.000404172,0.000404172
54,265.425,0.98148,1.18298,1.13981,0.84788,0.8539,0.9073,0.72392,0.79518,1.62929,0.99628,0.000395925,0.000395925,0.000395925
